BASE_DATE,SIGUNGU_CD,SIGUNGU_NM
"20220630","11010",종로구
"20220630","11020",중구
"20220630","11030",용산구
"20220630","11040",성동구
"20220630","11050",광진구
"20220630","11060",동대문구
"20220630","11070",중랑구
"20220630","11080",성북구
"20220630","11090",강북구
"20220630","11100",도봉구
"20220630","11110",노원구
"20220630","11120",은평구
"20220630","11130",서대문구
"20220630","11140",마포구
"20220630","11150",양천구
"20220630","11160",강서구
"20220630","11170",구로구
"20220630","11180",금천구
"20220630","11190",영등포구
"20220630","11200",동작구
"20220630","11210",관악구
"20220630","11220",서초구
"20220630","11230",강남구
"20220630","11240",송파구
"20220630","11250",강동구
"20220630","21010",중구
"20220630","21020",서구
"20220630","21030",동구
"20220630","21040",영도구
"20220630","21050",부산진구
"20220630","21060",동래구
"20220630","21070",남구
"20220630","21080",북구
"20220630","21090",해운대구
"20220630","21100",사하구
"20220630","21110",금정구
"20220630","21120",강서구
"20220630","21130",연제구
"20220630","21140",수영구
"20220630","21150",사상구
"20220630","21510",기장군
"20220630","22010",중구
"20220630","22020",동구
"20220630","22030",서구
"20220630","22040",남구
"20220630","22050",북구
"20220630","22060",수성구
"20220630","22070",달서구
"20220630","22510",달성군
"20220630","23010",중구
"20220630","23020",동구
"20220630","23040",연수구
"20220630","23050",남동구
"20220630","23060",부평구
"20220630","23070",계양구
"20220630","23080",서구
"20220630","23090",미추홀구
"20220630","23510",강화군
"20220630","23520",옹진군
"20220630","24010",동구
"20220630","24020",서구
"20220630","24030",남구
"20220630","24040",북구
"20220630","24050",광산구
"20220630","25010",동구
"20220630","25020",중구
"20220630","25030",서구
"20220630","25040",유성구
"20220630","25050",대덕구
"20220630","26010",중구
"20220630","26020",남구
"20220630","26030",동구
"20220630","26040",북구
"20220630","26510",울주군
"20220630","29010",세종시
"20220630","31030",의정부시
"20220630","31050",부천시
"20220630","31060",광명시
"20220630","31070",평택시
"20220630","31080",동두천시
"20220630","31110",과천시
"20220630","31120",구리시
"20220630","31130",남양주시
"20220630","31140",오산시
"20220630","31150",시흥시
"20220630","31160",군포시
"20220630","31170",의왕시
"20220630","31180",하남시
"20220630","31200",파주시
"20220630","31210",이천시
"20220630","31220",안성시
"20220630","31230",김포시
"20220630","31240",화성시
"20220630","31250",광주시
"20220630","31260",양주시
"20220630","31270",포천시
"20220630","31280",여주시
"20220630","31550",연천군
"20220630","31570",가평군
"20220630","31580",양평군
"20220630","32010",춘천시
"20220630","32020",원주시
"20220630","32030",강릉시
"20220630","32040",동해시
"20220630","32050",태백시
"20220630","32060",속초시
"20220630","32070",삼척시
"20220630","32510",홍천군
"20220630","32520",횡성군
"20220630","32530",영월군
"20220630","32540",평창군
"20220630","32550",정선군
"20220630","32560",철원군
"20220630","32570",화천군
"20220630","32580",양구군
"20220630","32590",인제군
"20220630","32600",고성군
"20220630","32610",양양군
"20220630","33020",충주시
"20220630","33030",제천시
"20220630","33520",보은군
"20220630","33530",옥천군
"20220630","33540",영동군
"20220630","33550",진천군
"20220630","33560",괴산군
"20220630","33570",음성군
"20220630","33580",단양군
"20220630","33590",증평군
"20220630","34020",공주시
"20220630","34030",보령시
"20220630","34040",아산시
"20220630","34050",서산시
"20220630","34060",논산시
"20220630","34070",계룡시
"20220630","34080",당진시
"20220630","34510",금산군
"20220630","34530",부여군
"20220630","34540",서천군
"20220630","34550",청양군
"20220630","34560",홍성군
"20220630","34570",예산군
"20220630","34580",태안군
"20220630","35020",군산시
"20220630","35030",익산시
"20220630","35040",정읍시
"20220630","35050",남원시
"20220630","35060",김제시
"20220630","35510",완주군
"20220630","35520",진안군
"20220630","35530",무주군
"20220630","35540",장수군
"20220630","35550",임실군
"20220630","35560",순창군
"20220630","35570",고창군
"20220630","35580",부안군
"20220630","36010",목포시
"20220630","36020",여수시
"20220630","36030",순천시
"20220630","36040",나주시
"20220630","36060",광양시
"20220630","36510",담양군
"20220630","36520",곡성군
"20220630","36530",구례군
"20220630","36550",고흥군
"20220630","36560",보성군
"20220630","36570",화순군
"20220630","36580",장흥군
"20220630","36590",강진군
"20220630","36600",해남군
"20220630","36610",영암군
"20220630","36620",무안군
"20220630","36630",함평군
"20220630","36640",영광군
"20220630","36650",장성군
"20220630","36660",완도군
"20220630","36670",진도군
"20220630","36680",신안군
"20220630","37020",경주시
"20220630","37030",김천시
"20220630","37040",안동시
"20220630","37050",구미시
"20220630","37060",영주시
"20220630","37070",영천시
"20220630","37080",상주시
"20220630","37090",문경시
"20220630","37100",경산시
"20220630","37510",군위군
"20220630","37520",의성군
"20220630","37530",청송군
"20220630","37540",영양군
"20220630","37550",영덕군
"20220630","37560",청도군
"20220630","37570",고령군
"20220630","37580",성주군
"20220630","37590",칠곡군
"20220630","37600",예천군
"20220630","37610",봉화군
"20220630","37620",울진군
"20220630","37630",울릉군
"20220630","38030",진주시
"20220630","38050",통영시
"20220630","38060",사천시
"20220630","38070",김해시
"20220630","38080",밀양시
"20220630","38090",거제시
"20220630","38100",양산시
"20220630","38510",의령군
"20220630","38520",함안군
"20220630","38530",창녕군
"20220630","38540",고성군
"20220630","38550",남해군
"20220630","38560",하동군
"20220630","38570",산청군
"20220630","38580",함양군
"20220630","38590",거창군
"20220630","38600",합천군
"20220630","39010",제주시
"20220630","39020",서귀포시
"20220630","31011",수원시
"20220630","31021",성남시
"20220630","31041",안양시
"20220630","31091",안산시
"20220630","31101",고양시
"20220630","31191",용인시
"20220630","33041",청주시
"20220630","34011",천안시
"20220630","35011",전주시
"20220630","37011",포항시
"20220630","38111",창원시