"소재지(시군구)별(1)",소재지(시군구)별(2),2021,2021,2021,2021,2021,2021
"소재지(시군구)별(1)",소재지(시군구)별(2),도시지역,주거지역,상업지역,공업지역,녹지지역,미지정지역
"소재지(시군구)별(1)",소재지(시군구)별(2),면적 (㎡),면적 (㎡),면적 (㎡),면적 (㎡),면적 (㎡),면적 (㎡)
"서울특별시",종로구,23972507,9830838,2937285,0,11204384,0
"서울특별시",중구,9974292,6037439,3911718,0,25135,0
"서울특별시",용산구,21870000,11424062,1557493,0,8888445,0
"서울특별시",성동구,16804270,9947485,473145,2051234,4332406,0
"서울특별시",광진구,17075115,11598584,201658,0,5274873,0
"서울특별시",동대문구,14251236,13039996,828159,0,383081,0
"서울특별시",중랑구,18531526,10821733,357606,0,7352187,0
"서울특별시",성북구,24621422,17791331,397229,0,6432862,0
"서울특별시",강북구,23636019,10898942,272237,0,12464840,0
"서울특별시",도봉구,20839966,8710578,267953,1473803,10387632,0
"서울특별시",노원구,35546825,13927380,592859,0,21026586,0
"서울특별시",은평구,29788522,15376440,510002,0,13902080,0
"서울특별시",서대문구,17685845,15439244,283546,0,1963055,0
"서울특별시",마포구,23883966,13383946,940109,0,9559911,0
"서울특별시",양천구,17469613,12536636,796830,92872,4043275,0
"서울특별시",강서구,41463273,14718308,1324125,2920235,22500605,0
"서울특별시",구로구,20136328,10269448,513589,4195729,5157562,0
"서울특별시",금천구,13012685,5845488,149622,4121945,2895630,0
"서울특별시",영등포구,24354830,8010073,2611027,5024926,8708804,0
"서울특별시",동작구,16387882,13790984,344623,0,2252275,0
"서울특별시",관악구,29563482,15322132,395303,0,13846047,0
"서울특별시",서초구,46899887,18892364,1320064,0,26687459,0
"서울특별시",강남구,39497268,24188974,1677285,0,13631009,0
"서울특별시",송파구,33857302,21421630,2363811,0,10071861,0
"서울특별시",강동구,24556203,12965432,680697,0,10910074,0
"부산광역시",중구,4466946,895634,1883211,191057,393204,1103840
"부산광역시",서구,29362772,4382073,1103317,872926,8012630,14991826
"부산광역시",동구,11593305,2521908,2495193,1721887,3090992,1763325
"부산광역시",영도구,56165682,4813394,797831,1811599,7603070,41139788
"부산광역시",부산진구,29666536,11070225,4841137,0,13755174,0
"부산광역시",동래구,16697577,9495849,1159033,154027,5888668,0
"부산광역시",남구,42507261,9862370,1039727,4701328,12861218,14042618
"부산광역시",북구,39434038,9607145,607050,0,29219843,0
"부산광역시",해운대구,55065412,12185714,3187779,615070,38161371,915478
"부산광역시",사하구,68381835,10454372,649227,9629505,21325386,26323345
"부산광역시",금정구,65179775,9866022,713518,1046404,53553831,0
"부산광역시",강서구,238454382,19956421,4184292,28402384,131639953,54271332
"부산광역시",연제구,12094555,7676869,769237,63487,3584962,0
"부산광역시",수영구,14085667,6600821,749337,116781,3590363,3028365
"부산광역시",사상구,36106274,8163480,480131,6589380,20873283,0
"부산광역시",기장군,221563954,17268865,1114395,8623150,191318826,3238718
"대구광역시",중구,7056241,3377140,3121126,0,557975,0
"대구광역시",동구,146854660,20845992,3695053,979024,121334591,0
"대구광역시",서구,17319408,7624438,1294895,4084803,4315272,0
"대구광역시",남구,17431453,8105365,1045866,0,8280222,0
"대구광역시",북구,93987602,20174917,3513338,5012475,65286872,0
"대구광역시",수성구,76535524,18773294,1992468,0,55769762,0
"대구광역시",달서구,62352606,20886684,2442133,11402022,27621767,0
"대구광역시",달성군,377972263,21748914,1351497,19734497,335137355,0
"인천광역시",중구,141263611,12338521,5982456,13240175,109626864,75595
"인천광역시",동구,7595909,2403342,455967,3903311,831254,2035
"인천광역시",미추홀구,24840389,14601386,3217114,2604158,4417731,0
"인천광역시",연수구,73300094,23048510,4988031,7858878,30087371,7317304
"인천광역시",남동구,68657807,16158040,2010252,10303997,28461739,11723779
"인천광역시",부평구,31994438,14551948,1918831,5018929,10504730,0
"인천광역시",계양구,45549863,9681328,644263,1409498,33814774,0
"인천광역시",서구,111604950,26433895,4323494,19207040,61354695,285826
"인천광역시",강화군,17306615,1949300,201300,538115,14558900,59000
"인천광역시",옹진군,7585977,9162,0,3571000,0,4005815
"광주광역시",동구,49314065,8816020,1844005,14511,38639529,0
"광주광역시",서구,47755979,15528365,1973459,2426906,27827249,0
"광주광역시",남구,60840032,14004606,448454,1931241,44455731,0
"광주광역시",북구,120270544,23197066,2646608,4493590,89933280,0
"광주광역시",광산구,201798359,26273263,2156960,16738349,156629787,0
"대전광역시",동구,118734150,12554919,1537556,496342,104145333,0
"대전광역시",중구,55685329,12451546,1866069,0,41367714,0
"대전광역시",서구,74892474,19733845,2246663,940029,51971937,0
"대전광역시",유성구,177801819,16088279,2751896,6830427,152131217,0
"대전광역시",대덕구,69010118,9993531,484483,8815430,49716674,0
"울산광역시",중구,37063741,12416015,1541474,258685,22847567,0
"울산광역시",남구,72736108,14218198,2583548,29238353,26690180,5829
"울산광역시",동구,36351722,6142199,796641,7030186,22335863,46833
"울산광역시",북구,120283505,13006325,1070374,10956422,95248827,1557
"울산광역시",울주군,497769781,23074301,1642863,38713750,352822754,81516113
"세종특별자치시",세종특별자치시,143324836,29552314,5242044,9618214,97420469,1491795
"경기도",수원시,121136868,45420018,6286111,4118245,65312494,0
"경기도",성남시,141820898,31203762,5238153,1744254,103535647,99082
"경기도",고양시,195008686,42852466,6956904,100000,145090022,9294
"경기도",용인시,392238936,39105762,4134529,8003381,340995264,0
"경기도",부천시,53450001,26462499,3521817,4536795,18928890,0
"경기도",안산시,151472343,24929245,2931139,16697098,106914861,0
"경기도",안양시,58480054,15148040,2211453,3229625,37890936,0
"경기도",남양주시,242423014,45247947,2431936,565538,194177593,0
"경기도",화성시,317786985,52937328,6038554,15347028,240573062,2891013
"경기도",평택시,150952990,40662425,6138506,30077493,74036875,37691
"경기도",의정부시,81598380,16411295,1663244,368210,63155631,0
"경기도",시흥시,135056863,22760408,1852865,12136986,98306604,0
"경기도",파주시,81898412,21954812,2102226,8809042,48590400,441932
"경기도",광명시,38506473,9362605,1731719,696894,26715255,0
"경기도",김포시,104689413,20642712,2108466,7123181,74815054,0
"경기도",군포시,36460323,8271323,679866,2602267,24906867,0
"경기도",광주시,172263424,11333997,394676,437361,159247390,850000
"경기도",이천시,82195456,6505443,649408,3219155,71821450,0
"경기도",양주시,150455384,26547690,667126,4231074,118561224,448270
"경기도",오산시,42757002,11225089,1080456,2531337,27920120,0
"경기도",구리시,33292067,7380123,775167,0,25136777,0
"경기도",안성시,155860500,10763728,1153355,5576045,138367372,0
"경기도",포천시,39212343,8645516,560264,2671621,27159308,175634
"경기도",의왕시,53991357,6757696,281917,1131867,45819877,0
"경기도",하남시,93044678,15956790,1570336,216674,75300878,0
"경기도",여주시,26436959,2939737,328116,1089486,22079620,0
"경기도",양평군,51198870,3259599,319310,85680,47534281,0
"경기도",동두천시,33565219,5820523,1042487,1261878,25440331,0
"경기도",과천시,35853000,4501605,236283,0,31115112,0
"경기도",가평군,81889445,5895602,486916,59854,75447073,0
"경기도",연천군,30445145,4075622,472575,1467543,24429405,0
"강원도",춘천시,335305852,21302172,1682032,3246506,307889550,1185592
"강원도",원주시,88304465,26054683,2496154,6361460,53375133,17035
"강원도",강릉시,84958649,17203831,1812138,5630095,53746927,6565658
"강원도",동해시,124014784,13214335,2145461,8950626,81863718,17840644
"강원도",태백시,66544336,8275530,1272360,1606644,55389802,0
"강원도",속초시,42065437,6288358,2316024,1081826,27311981,5067248
"강원도",삼척시,79882140,9989441,996845,7750965,56229797,4915092
"강원도",홍천군,30715247,4317179,385919,1095987,24916162,0
"강원도",횡성군,9918922,2563913,378893,1173709,5802407,0
"강원도",영월군,26383940,3523516,553387,1075679,21231358,0
"강원도",평창군,16680775,4795095,491151,0,11394529,0
"강원도",정선군,42543171,5023056,1120435,611392,35788288,0
"강원도",철원군,26456700,6208961,739708,402324,19105707,0
"강원도",화천군,13229891,2272088,281942,26780,10649081,0
"강원도",양구군,3710000,1454772,163900,62600,2028728,0
"강원도",인제군,14839016,3412469,557016,218542,10650989,0
"강원도",고성군,12421767,3071020,394073,205517,8304854,446303
"강원도",양양군,12029284,2589948,622679,21621,8518495,276541
"충청북도",청주시,339442798,42696586,5236428,20731032,270778752,0
"충청북도",충주시,108722161,14616346,2661229,9743122,81701464,0
"충청북도",제천시,57646099,6796018,1011346,4163576,45675159,0
"충청북도",보은군,17736716,2923729,313904,3635622,10863461,0
"충청북도",옥천군,55061021,4232003,412859,2451184,47964975,0
"충청북도",영동군,31106652,3877311,367037,2229981,24632323,0
"충청북도",진천군,27087912,6080256,607490,6824100,13576066,0
"충청북도",괴산군,12430138,1968909,177680,1787770,8495779,0
"충청북도",음성군,38672271,10165426,1255194,12329860,14921791,0
"충청북도",단양군,35644901,2347357,418189,2447533,30431822,0
"충청북도",증평군,13543694,2872861,247600,1639536,8783697,0
"충청남도",천안시,143943184,35029694,3250446,16163018,89500026,0
"충청남도",공주시,60114957,6031272,518563,3329170,50235952,0
"충청남도",보령시,30064183,4839272,625223,5623903,18975785,0
"충청남도",아산시,92147361,19693108,2551628,15590539,49563162,4748924
"충청남도",서산시,200224913,12499560,1048890,27443809,107069137,52163517
"충청남도",논산시,49850582,7701348,687844,1846801,39614589,0
"충청남도",계룡시,49225821,3754171,330647,738270,44402733,0
"충청남도",당진시,75847910,10248922,1717247,33913688,29968053,0
"충청남도",금산군,29453071,3948519,397525,1052683,24054344,0
"충청남도",부여군,43390736,3470793,623839,237192,39058912,0
"충청남도",서천군,23030031,4447946,515893,3849978,13511410,704804
"충청남도",청양군,5959271,1334765,119939,341107,4163460,0
"충청남도",홍성군,35714016,8994730,983766,2269070,23372497,93953
"충청남도",예산군,36812408,6667878,601559,3894293,25648678,0
"충청남도",태안군,36291475,4655236,1791776,4501693,25334369,8401
"전라북도",전주시,197229690,36999327,4707994,7223239,148299130,0
"전라북도",군산시,207398894,18946838,4244252,27865655,82993556,73348593
"전라북도",익산시,76088724,18083590,1889219,10778621,45337294,0
"전라북도",정읍시,47833455,11236113,1300574,3345750,31951018,0
"전라북도",남원시,30647473,6434690,979006,1835590,21398187,0
"전라북도",김제시,43831566,7929314,1024300,3168025,31709927,0
"전라북도",완주군,150045964,7388662,735215,8883114,133038973,0
"전라북도",진안군,6398307,896318,138952,39890,5323147,0
"전라북도",무주군,12353295,1988389,345466,65644,9953796,0
"전라북도",장수군,5474447,1231139,188800,81669,3972839,0
"전라북도",임실군,17985020,2215285,266496,795863,14707376,0
"전라북도",순창군,10110000,952741,124600,0,9032659,0
"전라북도",고창군,32466784,4668525,532534,1055296,26210429,0
"전라북도",부안군,47775171,7254288,509013,1530401,37964298,517171
"전라남도",목포시,112490000,16167148,2161421,9137583,27548633,57475215
"전라남도",여수시,345099809,25574486,2989245,58959716,215073797,42502565
"전라남도",순천시,197839766,22519673,3169792,4857686,167292615,0
"전라남도",나주시,105204946,17028521,1421202,4001071,82754152,0
"전라남도",광양시,176886009,17669060,2258116,48821295,83381191,24756347
"전라남도",담양군,133448210,9994482,337806,640185,122475737,0
"전라남도",곡성군,15477288,2203732,320615,244434,12708507,0
"전라남도",구례군,10906000,2280030,347600,164359,8114011,0
"전라남도",고흥군,32660659,3467456,551674,1783712,23128123,3729694
"전라남도",보성군,23973695,2982434,580304,145744,20265213,0
"전라남도",화순군,74012000,4523990,556870,1153138,67778002,0
"전라남도",장흥군,37266140,2985811,464460,2206939,31608930,0
"전라남도",강진군,27041759,4272558,604770,1415080,19463513,1285838
"전라남도",해남군,57386654,9413533,2356682,6561236,31538114,7517089
"전라남도",영암군,102642897,8916283,1243689,14973779,49188130,28321016
"전라남도",무안군,31069640,7485492,1042947,576412,21964789,0
"전라남도",함평군,28039043,3534021,393712,3038615,21072695,0
"전라남도",영광군,47016366,4770390,850826,7130742,32835637,1428771
"전라남도",장성군,108637200,9255166,807475,3436156,95138403,0
"전라남도",완도군,26633097,2670256,601803,526991,19293348,3540699
"전라남도",진도군,22966658,2358491,346089,915240,19346838,0
"전라남도",신안군,3725281,293303,62190,53500,3316288,0
"경상북도",포항시,393162228,42465223,5933223,41765268,207116161,95882353
"경상북도",경주시,464824021,22464964,2928260,30086391,408196226,1148180
"경상북도",김천시,64622360,13748786,1620993,6481602,42082616,688363
"경상북도",안동시,79223135,14842231,1930696,2403789,60046419,0
"경상북도",구미시,185821767,27324352,3575173,28461215,126461027,0
"경상북도",영주시,50092894,8287761,1307983,3159578,37337572,0
"경상북도",영천시,58659064,9247894,921332,9442265,39047573,0
"경상북도",상주시,50640213,9036644,1135015,2882470,37586084,0
"경상북도",문경시,37848000,6768542,1228612,2276290,27217556,357000
"경상북도",경산시,123728319,19519416,1869592,9826501,92512810,0
"경상북도",군위군,7246000,1004398,147666,0,6093936,0
"경상북도",의성군,32583000,3977016,525785,967694,27112505,0
"경상북도",청송군,6196276,1571429,295075,39663,4290109,0
"경상북도",영양군,11453000,1426723,272255,64665,9689357,0
"경상북도",영덕군,15669000,3206795,674549,344652,10728656,714348
"경상북도",청도군,21150000,2263118,313680,202200,18371002,0
"경상북도",고령군,32473748,2935710,143886,3481163,25800330,112659
"경상북도",성주군,10583153,1994085,177810,1920553,6490705,0
"경상북도",칠곡군,148865952,11887128,725310,6550372,129703142,0
"경상북도",예천군,16347828,5956963,834521,148593,9407751,0
"경상북도",봉화군,9484653,1711515,212418,251276,7309444,0
"경상북도",울진군,47920405,6164599,836733,4494158,33721772,2703143
"경상북도",울릉군,10483319,817464,144957,161891,9099674,259333
"경상남도",창원시,595333540,59968008,10547236,42399088,359030870,123388338
"경상남도",진주시,275745526,19471374,3155437,5661271,247457444,0
"경상남도",통영시,61728545,10386837,1209590,6144930,41195972,2791216
"경상남도",사천시,92916793,11772060,1306563,11057132,67262819,1518219
"경상남도",김해시,267179611,36299562,4256200,17537699,208912102,174048
"경상남도",밀양시,61441669,9930453,853060,4900697,45757459,0
"경상남도",거제시,97944801,13405357,1934136,8326624,62411257,11867427
"경상남도",양산시,311750184,29290641,2871728,16923792,262664023,0
"경상남도",의령군,16184652,2671295,230615,1284716,11998026,0
"경상남도",함안군,40012524,4668879,489859,7368467,27485319,0
"경상남도",창녕군,49474929,5805419,623371,4045744,39000395,0
"경상남도",고성군,23350496,2788313,184289,6297846,13111588,968460
"경상남도",남해군,11801283,1257599,184262,0,10359422,0
"경상남도",하동군,17535890,1896670,539496,8458678,6641046,0
"경상남도",산청군,10466483,2055257,239990,364850,6425386,1381000
"경상남도",함양군,19391344,2390685,305400,770979,15924280,0
"경상남도",거창군,31906464,4873912,347740,1271445,25413367,0
"경상남도",합천군,23545887,3423959,303514,0,19818414,0
"제주특별자치도",제주시,230285390,29521887,4214133,3519625,183793929,9235816
"제주특별자치도",서귀포시,239451968,23728640,2436811,1857265,204476225,6953027
